Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Record_No,Status,Expiration_Date,DBA,Owner / Community_Name,Location_Address,Mailing_Address,County,Community_Phone,Total_#_Sites,Issued_Date,Operator_Name,Operator_Phone,Operator_email,latitude,longitude,House district,Senate district
1,1,1,1201606,Expired,2021-10-01,PINE GROVE MHP,,"28312 MICHIGAN AVE, INKSTER MI 48141","9 MARION DRIVE, ASHEVILLE, NC 28806",WAYNE,3037181621,45,11/05/2018,MALCOLM OLIVER,303-718-1621,MEO3@AOL.COM,42.293232,-83.3186452,,
2,2,2,1200014,Issued,2024-10-01,,,"18630 DIX, MELVINDALE, MI 48122","5003 HICKORY POINTE DR, ORCHARD LAKE, MI 48323",WAYNE,2483182301,59,12/13/1978,NADIM AJLOUNY,2483182301,,42.2742821,-83.1757968,,
3,3,3,1200019,Issued,2024-10-01,BROOKHAVEN PARK,,"4747 WEST RIVER DR, COMSTOCK PARK MI 49321","500 WESTOVER DR #5358, SANFORD, NC 27330",KENT,No Phone,73,12/20/1978,NOEL SCRUGGS,7604819096,brookhavenmhp@gmail.com,43.0497349,-85.6554577,,
4,4,4,1200987,Issued,2024-10-01,,,"011630 14TH AVE, GRAND RAPIDS MI 49544","217 PIERCE STE 209, BIRMINGHAM, MI 48009",OTTAWA,No Phone,107,05/01/1981,ARA DARAKJIAN,2483569900,,42.9804969,-85.8190842,,
5,5,5,1201245,Issued,2024-10-01,SUNSET RIDGE MANUFACTURED HOME COMMUNITY,,"7204 E. GRAND RIVER AVENUE, PORTLAND TWP., MI 48875","27777 FRANKLIN RD STE 200, SOUTHFIELD, MI 48034",IONIA,2482082500,388,08/24/2001,JOHN MCLAREN,2482082500,jmclareen@suncommunities,42.8697893,-84.9366388,,
6,6,6,1201448,Issued,2024-10-01,LAKE SUPERIOR ESTATES,,"102 E 25TH AVE, SAULT STE MARIE MI 48783","PO BOX 457, CEDAREDGE, CO 81413",CHIPPEWA,9066322338,222,01/06/2017,DAVID REYNOLDS,9706286525,cassie@rvhmanagement.com,46.4691913,-84.3707325,,
7,7,7,1201519,Issued,2024-10-01,PONTALUNA SHORES,,"1281 E PONTALUNA ROAD, SPRING LAKE MI 49456","500 WESTOVER DRIVE #5358, SANFORD, NC 27330",MUSKEGON,2317988175,143,01/16/2018,NOEL SCRUGGS,7604819096,noel@avantcommunity.com,43.1291083,-86.2125583,,
8,8,8,1201527,Issued,2024-10-01,,,"5400 KAY STREET, MOUNT PLEASANT MI 48858","500 WESTOVER DRIVE #5358, SANFORD, NC 27330",ISABELLA,9897732830,71,02/22/2018,NOEL SCRUGGS,7604819096,noel@avantcommunity.com;kyle@avantcommunity.com,43.60800039999999,-84.7394781,,
9,9,9,1201619,Issued,2024-10-01,,,"11757 CAPPY LANE, WHITMORE LAKE MI 48189","500 WESTOVER DRIVE #5358, SANFORD, NC 27330",LIVINGSTON,7344492080,14,01/14/2019,NOEL SCRUGGS,7604819096,noel@avantcommunity.com,42.4346442,-83.7597388,,
10,10,10,1201735,Issued,2024-10-01,,,"400 N WALNUT, GREENVILLE MI 48838","9645 MEADOWLARK CT, FREELAND, MI 48623",MONTCALM,9896008258,84,02/27/2020,DAVID REID,9546478602,REIDCOMMUNITIES@YAHOO.COM,43.1839649,-85.2409443,,
