Name,Address,City.State,ZIP,Number.of.Sites,Url,House.district,Senate.district
Channel View,"5150 Taft Road,","Clay Township, MI",48001,303,https://www.mhvillage.com/parks/15713,63,12
Algonac Mobile Home Park,"3812 Pointe Tremble Road,","Algonac, MI",48001,30,https://www.mhvillage.com/parks/15513,63,12
Thorn Hollow Mobile Home Park,"9600 Nook Road,","Algonac, MI",48001,45,https://www.mhvillage.com/parks/15511,63,12
Kingsbrook Estates,"4600 N. Van Dyke Road,","Almont, MI",48003,232,https://www.mhvillage.com/parks/443,65,24
Hunters Crossing,"150 Hunters Crossing Boulevard,","Capac, MI",48014,114,https://www.mhvillage.com/parks/30614,65,25
The Shores of Anchor Bay,"7061 Bethuy Road,","Fair Haven, MI",48023,659,https://www.mhvillage.com/parks/15512,63,12
Admirals Cove Senior Living,"10415 Le Grande Blvd,","Fair Haven, MI",48023,114,https://www.mhvillage.com/parks/106208,63,12
Northpointe Shores,"10431 Dixie Highway,","Fair Haven, MI",48023,12,https://www.mhvillage.com/parks/15928,63,12
Sunrise Mobile Home Park,"5690 Harris Road,","Jeddo, MI",48032,48,https://www.mhvillage.com/parks/15501,64,25
Sun Communities,"27777 Franklin Rd #200,","Southfield, MI",48034,NA,https://www.mhvillage.com/parks/108446,19,7
Southfield Mobile Home Park,"21301 Telegraph Road,","Southfield, MI",48034,190,https://www.mhvillage.com/parks/15074,18,7
Silver Springs,"43600 Park Drive West,","Clinton Township, MI",48036,547,https://www.mhvillage.com/parks/37937,61,12
Rudgate Clinton,"20475 Foster Drive,","Clinton Township, MI",48036,667,https://www.mhvillage.com/parks/302,61,11
Parkway Village LLC,"23500 South Keystone Way,","Clinton Township, MI",48036,242,https://www.mhvillage.com/parks/15090,61,12
Windsor Farms,"23680 Sandpiper Drive,","Clinton Township, MI",48036,620,https://www.mhvillage.com/parks/220,61,12
River's Edge,"38000 Le Chateau Blvd,","Clinton Township, MI",48038,1000,https://www.mhvillage.com/parks/15046,61,11
Shangri La Mobile Home Community,"6900 South River Road,","Marine City, MI",48039,270,https://www.mhvillage.com/parks/15324,63,25
Tag-A-Long Mobile Court,"6609 River Road,","Marine City, MI",48039,NA,https://www.mhvillage.com/parks/15499,63,25
Seaway Mobile Home Ranch,"50 Mack Avenue,","Marysville, MI",48040,156,https://www.mhvillage.com/parks/339,64,25
Marysville Senior Living,"3333 Ravenswood Road,","Marysville, MI",48040,230,https://www.mhvillage.com/parks/321,64,25
Clinton River,"4125 Riverview Circle,","Mount Clemens, MI",48043,132,https://www.mhvillage.com/parks/186,61,12
Westbrook,"45013 Catalpa Blvd.,","Macomb, MI",48044,NA,https://www.mhvillage.com/parks/126708,60,11
Camelot Villa,"17111 Hall Road,","Macomb, MI",48044,712,https://www.mhvillage.com/parks/15094,60,11
Westbridge Manor,"45301 Chateau Thierry Blvd.,","Macomb, MI",48044,1446,https://www.mhvillage.com/parks/251,60,11
Willow Point,"43400 Lenfesty Drive,","Harrison Township, MI",48045,284,https://www.mhvillage.com/parks/33956,62,12
Blue Sky Mobile Home Village,"36530 Jefferson Avenue,","Harrison Township, MI",48045,132,https://www.mhvillage.com/parks/15045,62,12
Lakeside Trailer Park,"27860 Hickler Lane,","Harrison Township, MI",48045,24,https://www.mhvillage.com/parks/15143,62,12
Harrison Court Co-op,"43301 Summit,","Harrison Township, MI",48045,131,https://www.mhvillage.com/parks/16037,62,12
Lakeshore Village Mobile Home Park,"35922 East Jefferson,","Harrison Township, MI",48045,NA,https://www.mhvillage.com/parks/15142,62,12
Lakeview Trailer Court,"37111 Main Street,","New Baltimore, MI",48047,NA,https://www.mhvillage.com/parks/15144,63,12
Millstone Pond,"37781 Sandstone Trail,","Lenox, MI",48048,263,https://www.mhvillage.com/parks/32594,65,25
Riverbrook,"59477 Hardy Lane,","New Haven, MI",48048,390,https://www.mhvillage.com/parks/224,65,25
Meadow Creek,"58701 Meadow Creek Boulevard,","New Haven, MI",48048,433,https://www.mhvillage.com/parks/35462,65,25
Quail Run,"33099 Willow,","Lenox, MI",48048,340,https://www.mhvillage.com/parks/15914,65,25
Pine Crest Estates,"30086 Pineview Circle,","Chesterfield, MI",48051,214,https://www.mhvillage.com/parks/31376,63,12
Fairchild Lake,"49645 Au Lac Road,","Chesterfield, MI",48051,300,https://www.mhvillage.com/parks/15138,63,12
Carriage Way,"29800 Guilford Circle,","Chesterfield, MI",48051,798,https://www.mhvillage.com/parks/222,63,12
Evergreen Meadows,"24 Mile Rd,","Chesterfield, MI",48051,NA,https://www.mhvillage.com/parks/105896,63,12
River's Edge a Quiet Community,"60 Hathaway Street,","East China, MI",48054,41,https://www.mhvillage.com/parks/15502,63,25
Indian Trail North,"3650 Metcalf Road,","Burtchville, MI",48059,496,https://www.mhvillage.com/parks/319,64,25
Birchwood Estates,"4333 24th Avenue,","Fort Gratiot, MI",48059,195,https://www.mhvillage.com/parks/15895,64,25
Birchwood Estates West,"3211 Keewahdin Rd,","Fort Gratiot, MI",48059,147,https://www.mhvillage.com/parks/72122,64,25
Brandymore Pines,"4400 Kraft Road,","Fort Gratiot, MI",48059,192,https://www.mhvillage.com/parks/15984,64,25
Marysville Farms,"Minnesota Road,","Port Huron, MI",48060,158,https://www.mhvillage.com/parks/29147,64,25
Minnesota Lake,"1219 Minnesota Road,","Port Huron, MI",48060,161,https://www.mhvillage.com/parks/16018,64,25
Stocks Creek,"3730 Lapeer Rd,","Port Huron, MI",48060,148,https://www.mhvillage.com/parks/29407,64,25
Edison Court,"2801 Griswold Street,","Port Huron, MI",48060,62,https://www.mhvillage.com/parks/425,64,25
Port Of Call Mobile Home Park,"4125 Dove Road,","Port Huron, MI",48060,148,https://www.mhvillage.com/parks/15934,64,25
Fenner's Mobile Village,"4172 Lapeer Road,","Port Huron, MI",48060,NA,https://www.mhvillage.com/parks/15508,64,25
Richmond Place,"36401 Division Road,","Richmond, MI",48062,117,https://www.mhvillage.com/parks/15145,65,25
Pinewood on the Lake,"2109 Redwood Avenue,","Columbus, MI",48063,380,https://www.mhvillage.com/parks/421,65,25
Ravinia Anchor Bay,"5407 Aloha Lane,","Casco, MI",48064,556,https://www.mhvillage.com/parks/15307,63,25
Springbrook Estates,"71400 Van Dyke Road,","Romeo, MI",48065,398,https://www.mhvillage.com/parks/15147,66,24
Romeo Mobile Manor,"400 Notre Dame Boulevard,","Romeo, MI",48065,98,https://www.mhvillage.com/parks/15146,66,24
Roseville Mobile Home Park,"25214 Gratiot Avenue,","Roseville, MI",48066,166,https://www.mhvillage.com/parks/15067,12,11
Ackels Mobile Home Community,"25151 Dequindre Road Lot #31,","Madison Heights, MI",48071,116,https://www.mhvillage.com/parks/15149,8,3
Madison Oaks MHC,"26131 Dequindre Road,","Madison Heights, MI",48071,263,https://www.mhvillage.com/parks/15160,8,3
Red Run Park Manufactured Housing Community,"1066 Linda Lane,","Madison Heights, MI",48071,122,https://www.mhvillage.com/parks/15087,57,3
The Lakes Estates,"5901 Lapeer Road,","Kimball, MI",48074,254,https://www.mhvillage.com/parks/15987,64,25
Kimball Estates,"5148 Dove Road,","Kimball, MI",48074,68,https://www.mhvillage.com/parks/15510,64,25
Somerset Meadows,"5665 Griswold Road,","Kimball, MI",48074,160,https://www.mhvillage.com/parks/15561,64,25
St. Clair Place,"2700 Cox Road,","Saint Clair, MI",48079,100,https://www.mhvillage.com/parks/15504,64,25
North Pointe Shores,"678 N Riverside Ave,","Saint Clair, MI",48079,NA,https://www.mhvillage.com/parks/126504,63,25
Troy Villa,"2100 Stephenson Highway,","Troy, MI",48083,282,https://www.mhvillage.com/parks/15175,56,9
Lafayette Place,"21155 Warner,","Warren, MI",48091,254,https://www.mhvillage.com/parks/15065,14,3
Landmark Estates MHP,"21908 Dequindre Rd,","Warren, MI",48091,106,https://www.mhvillage.com/parks/221,14,3
Glennwood Village,"2526 Morrissey Road,","Warren, MI",48091,147,https://www.mhvillage.com/parks/15233,14,3
Shadylane,"2709 Capitol Avenue,","Warren, MI",48091,249,https://www.mhvillage.com/parks/15088,14,3
Warren Estates,"3193 East Ten Mile Road,","Warren, MI",48091,333,https://www.mhvillage.com/parks/15092,14,3
Motor City MHP,"23765 Lawrence,","Warren, MI",48091,126,https://www.mhvillage.com/parks/15079,14,3
Eckert's Mobile Home Court,"2324 Eleven Mile Road Box 2,","Warren, MI",48091,77,https://www.mhvillage.com/parks/15140,14,3
Woodview Mobile Village,"7062 Ready Avenue,","Warren, MI",48091,NA,https://www.mhvillage.com/parks/15234,14,3
Continental Mobile Village,"20785 Schultes Avenue,","Warren, MI",48091,NA,https://www.mhvillage.com/parks/15093,14,3
Twin Pines MHP,"6815 11 Mile Road,","Warren, MI",48092,119,https://www.mhvillage.com/parks/15098,14,3
East Village Estates,"57400 Bedford Blvd.,","Washington, MI",48094,708,https://www.mhvillage.com/parks/253,66,24
Washington Mobile Home Park,"60630 Van Dyke Road,","Washington, MI",48094,100,https://www.mhvillage.com/parks/15102,66,24
Erie West Mobile Home Community LLC,"Po Box 344,","Washington, MI",48094,NA,https://www.mhvillage.com/parks/106894,66,24
